id,symbol,verdict,side,signal_ts,entry_price,size,confidence,regime,strategy,htf,z_score,bayes,cvd,ofi,atr,atr_pct,stop_loss,take_profit,mfe_pct,mae_pct,mfe_r,mae_r,exit_ts,exit_price,pnl,outcome
1,SOLUSDT,MEAN_REVERSAL_LONG,buy,21:48:22,65.01,4.04,0.64,RANGE,MEAN_REVERSION,BULL,-1.81,0.6745,-1725774.0,0.3,0.37,0.00575,64.63,65.47,0.323,-0.2461,0.5526,-0.4211,22:24:33,65.21,0.28,TIME_EXIT
2,ETHUSDT,MEAN_REVERSAL_LONG,buy,22:37:47,1646.11,0.205,0.63,RANGE,MEAN_REVERSION,BULL,-1.64,0.6960999999999999,-1725774.0,0.3,0.37,0.00458,1639.8,1657.72,0.1871,-0.1397,0.4881,-0.3645,22:51:16,1639.95,-0.67,LOSS
3,ETHUSDT,SELL,sell,01:19:20,1643.74,0.039,0.65,VOLATILE,MEAN_REVERSION,BEAR,-0.8,0.72,-40392.0,0.3,7.54,0.00489,1662.76,1596.47,0.3091,0.0,0.2671,0.0,01:39:42,1638.71,0.07,TIME_EXIT
4,ETHUSDT,SELL,sell,02:02:29,1640.2,0.049,0.68,VOLATILE,TREND,BEAR,-0.86,0.7508,-103442.0,-0.3,8.04,0.00482,1655.6,1602.92,0.653,0.0,0.6955,0.0,02:25:48,1627.75,0.01,TIME_EXIT
5,SOLUSDT,SELL,sell,12:08:59,63.37,1.95,0.65,VOLATILE,TREND,BEAR,-1.09,0.6336999999999999,-113779.0,-0.3,7.9,0.00559,64.09,61.61,0.0947,-0.1736,0.0833,-0.1528,12:31:59,64.08,-1.52,LOSS
6,SOLUSDT,BUY,buy,12:46:58,64.33,1.5,0.63,VOLATILE,TREND,BULL,-0.11,0.7608,-874329.0,-0.5,0.35,0.00636,63.91,65.26,0.6684,-0.2954,1.0238,-0.4524,13:35:00,64.73,0.41,TIME_EXIT
7,ETHUSDT,BUY,buy,12:48:15,1638.99,0.034,0.69,VOLATILE,TREND,BULL,0.22,0.7631999999999999,-908674.0,0.4,0.41,0.00529,1631.02,1659.63,0.0635,-0.3514,0.1305,-0.7227,13:28:38,1631.19,-0.33,LOSS
8,BTCUSDT,BUY,buy,13:40:27,,,0.75,VOLATILE,TREND,BULL,0.22,0.8387,165196.0,0.2,8.67,0.00417,61434.92,62284.6,0.0,0.0,,,,,,OPEN
9,ETHUSDT,BUY,buy,13:40:49,,0.012,0.63,VOLATILE,TREND,BULL,0.41,0.6984999999999999,-10376.0,0.4,257.48,0.005180000000000001,1634.15,1662.26,0.0,0.0,,,,,,OPEN
10,ETHUSDT,BUY,buy,13:41:07,,,0.63,VOLATILE,TREND,BULL,0.41,0.6984999999999999,193038.0,0.0,8.52,0.005180000000000001,1634.15,1662.26,0.0,0.0,,,,,,OPEN
11,ETHUSDT,BUY,buy,13:41:23,,,0.64,VOLATILE,TREND,BULL,0.4,0.7123999999999999,193089.0,0.1,8.52,0.005180000000000001,1634.15,1662.26,0.0,0.0,,,,,,OPEN
12,ETHUSDT,BUY,buy,13:41:53,,,0.66,VOLATILE,TREND,BULL,0.4,0.7297,193073.0,0.0,8.52,0.005180000000000001,1634.15,1662.26,0.0,0.0,,,,,,OPEN
13,ETHUSDT,BUY,buy,13:42:24,1657.36,0.019,0.64,VOLATILE,TREND,BULL,0.4,0.713,192996.0,0.2,8.52,0.005180000000000001,1634.15,1662.26,0.102,0.0,0.0728,0.0,13:44:12,1662.88,0.04,WIN
14,ETHUSDT,BUY,buy,13:46:13,,0.012,0.76,VOLATILE,TREND,BULL,0.4,0.843,193150.0,-0.0,8.52,0.005180000000000001,1634.15,1662.26,0.0,0.0,,,,,,OPEN
15,ETHUSDT,BUY,buy,14:05:07,1654.85,0.042,0.67,VOLATILE,TREND,BULL,0.66,0.7399,193849.0,0.1,8.52,0.00616,1639.03,1672.58,0.0,-0.6103,0.0,-0.6384,14:32:17,1639.23,-0.73,LOSS
16,SOLUSDT,BUY,buy,14:16:50,64.95,0.56,0.76,VOLATILE,TREND,BULL,0.39,0.9218000000000001,187515.0,0.2,10.17,0.006750000000000001,64.37,65.82,0.3541,-0.4927,0.3966,-0.5517,15:25:02,65.24,0.09,TIME_EXIT
17,BTCUSDT,BUY,buy,14:44:15,,,0.72,VOLATILE,TREND,BULL,0.67,0.7843000000000001,-780113.0,0.3,0.44,0.004699999999999999,61694.46,62655.56,0.0,0.0,,,,,,OPEN
18,ETHUSDT,BUY,buy,14:51:45,1644.4,0.027,0.67,VOLATILE,TREND,BULL,0.28,0.7475,-9755.0,0.2,291.24,0.00616,1632.84,1666.24,0.2353,-0.3369,0.3348,-0.4792,15:25:03,1649.32,0.04,TIME_EXIT
19,ETHUSDT,BUY,buy,15:27:21,1647.92,0.032,0.62,VOLATILE,TREND,BULL,-0.0,0.6922,179922.0,0.4,10.12,0.00644,1627.94,1662.75,0.0231,0.0,0.019,0.0,,,,OPEN
